Betreiber,Anzeigename (Karte),Strasse,Hausnummer,Adresszusatz,Postleitzahl,Ort,Kreis/kreisfreie Stadt,Bundesland,Breitengrad,Laengengrad,Inbetriebnahmedatum,Nennleistung Ladeeinrichtung [kW],Art der Ladeeinrichtung,Anzahl Ladepunkte,Steckertypen1,P1 [kW],Public Key1,Steckertypen2,P2 [kW],Public Key2,Steckertypen3,P3 [kW],Public Key3,Steckertypen4,P4 [kW],Public Key4,Steckertypen5,P5 [kW],Public Key5,Steckertypen6,P6 [kW],Public Key6
Top Mehrwert Logistik GmbH,,Wendenstrasse,249,,20537.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.55066,10.037718,2023-08-24,50,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),50,,DC Fahrzeugkupplung Typ Combo 2 (CCS),50,,,,,,,,,,,,,
BP Europa SE,Aral Pulse,Groï¿½mannstrasse,195-211,,20539.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.536459,10.064925,2021-01-29,300,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS); DC CHAdeMO,300,,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,,,,,,,,,,,,,
BP Europa SE,Aral Pulse,Groï¿½mannstrasse,195-211,,20539.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.536459,10.064925,2021-01-29,300,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS); DC CHAdeMO,300,,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,,,,,,,,,,,,,
EWE Go GmbH,EWE Go GmbH,Lehfeld,2,,21029.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.480271,10.207081,2023-03-01,150,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),150,,DC Fahrzeugkupplung Typ Combo 2 (CCS),150,,,,,,,,,,,,,
EnBW mobility+ AG und Co.KG ,,Curslacker Neuer Deich,16-20,,21029.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.48247,10.207571,2022-10-13,150,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),150,,DC Fahrzeugkupplung Typ Combo 2 (CCS),150,,,,,,,,,,,,,
EnBW mobility+ AG und Co.KG ,,Curslacker Neuer Deich,16-20,,21029.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.48247,10.207571,2022-10-13,150,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),150,,DC Fahrzeugkupplung Typ Combo 2 (CCS),150,,,,,,,,,,,,,
EnBW mobility+ AG und Co.KG ,,Curslacker Neuer Deich,16-20,,21029.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.48247,10.207571,2022-10-13,300,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,,,,,,,,,,,,,
EnBW mobility+ AG und Co.KG ,,Curslacker Neuer Deich,16-20,,21029.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.48247,10.207571,2022-10-13,300,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,,,,,,,,,,,,,
Comfortcharge GmbH,Comfort Charge,Dï¿½nenweg,40,,21033.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.50334,10.19078,2019-10-13,150,Schnellladeeinrichtung,4.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),150,,AC Typ 2 Steckdose,22,,AC Typ 2 Fahrzeugkupplung,22,,DC Fahrzeugkupplung Typ Combo 2 (CCS),150,,,,,,,
EnBW mobility+ AG und Co.KG ,,Oberer Landweg,7,,21033.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.48998,10.18764,2022-10-14,150,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),150,,DC Fahrzeugkupplung Typ Combo 2 (CCS),150,,,,,,,,,,,,,
EnBW mobility+ AG und Co.KG ,,Oberer Landweg,7,,21033.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.48998,10.18764,2022-10-14,300,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,,,,,,,,,,,,,
Ladegruen! eG,,Billwerder Billdeich,605,,21033.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.496497,10.182701,2023-12-20,50,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),50,,DC Fahrzeugkupplung Typ Combo 2 (CCS),50,,,,,,,,,,,,,
Ladegruen! eG,,Billwerder Billdeich,605,,21033.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.496391,10.182701,2023-12-20,50,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),50,,DC Fahrzeugkupplung Typ Combo 2 (CCS),50,,,,,,,,,,,,,
Comfortcharge GmbH,Comfort Charge,Rahel-Varnhagen-Weg,77,,21035.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.48822,10.17106,2019-09-23,150,Schnellladeeinrichtung,4.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),150,,AC Typ 2 Steckdose,22,,AC Typ 2 Fahrzeugkupplung,22,,DC Fahrzeugkupplung Typ Combo 2 (CCS),150,,,,,,,
BP Europa SE,Aral Pulse,Wilhelm-Iwan-Ring,1,,21035.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.489873,10.114809,2020-12-23,300,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS); DC CHAdeMO,300,,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,,,,,,,,,,,,,
BP Europa SE,Aral Pulse,Wilhelm-Iwan-Ring,1,,21035.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.489873,10.114809,2020-12-23,300,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS); DC CHAdeMO,300,,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,,,,,,,,,,,,,
BP Europa SE,Aral Pulse,Nettelnburger Landweg,2,,21035.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.486699,10.183866,2023-01-24,300,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS); DC CHAdeMO,300,,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,,,,,,,,,,,,,
BP Europa SE,Aral Pulse,Nettelnburger Landweg,2,,21035.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.486699,10.183866,2023-01-24,300,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS); DC CHAdeMO,300,,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,,,,,,,,,,,,,
BP Europa SE,Aral Pulse,Nettelnburger Landweg,2,,21035.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.486699,10.183866,2023-01-24,300,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS); DC CHAdeMO,300,,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,,,,,,,,,,,,,
