_fid;zaehlstelle;bezeichnung;knoten;letzte_zaehlung;geom;coordinate_reference_system
APP_KFZ_DAUERZAEHLSTELLEN_2497;101;Krohnstieg / Swebenweg;;31.12.2023;POINT (9.974811 53.645576);EPSG:4326
APP_KFZ_DAUERZAEHLSTELLEN_2498;102;Zeppelinstraße N Terminalzufahrten (UFu);;05.01.2004;POINT (10.009629 53.635823);EPSG:4326
APP_KFZ_DAUERZAEHLSTELLEN_2499;103;Kollaustraße SO Vogt-Cordes-Damm;;05.01.2004;POINT (9.952571 53.613270);EPSG:4326
APP_KFZ_DAUERZAEHLSTELLEN_2500;105;Luruper Hauptstraße O Engelbrechtweg (Landesgrenze);;05.01.2004;POINT (9.854463 53.598217);EPSG:4326
APP_KFZ_DAUERZAEHLSTELLEN_2501;106;Fruchtallee NW Emilienstraße;;05.01.2004;POINT (9.952597 53.571462);EPSG:4326
APP_KFZ_DAUERZAEHLSTELLEN_2502;107;Doormannsweg SW Fruchtallee;;05.01.2004;POINT (9.955297 53.569967);EPSG:4326
APP_KFZ_DAUERZAEHLSTELLEN_2503;108;Habichtstraße NW Meisenstraße;;05.01.2004;POINT (10.058448 53.590339);EPSG:4326
APP_KFZ_DAUERZAEHLSTELLEN_2504;109;Wandsbeker Marktstraße SW Wandsbeker Königstraße;;05.01.2004;POINT (10.064511 53.571301);EPSG:4326
APP_KFZ_DAUERZAEHLSTELLEN_2505;110;Wallringtunnel N Deichtorplatz;;05.01.2004;POINT (10.006310 53.549683);EPSG:4326
APP_KFZ_DAUERZAEHLSTELLEN_2506;111;Deichtortunnel O Meßberg;;05.01.2004;POINT (10.003131 53.547390);EPSG:4326
APP_KFZ_DAUERZAEHLSTELLEN_2507;112;Oberbaumbrücke NO Poggenmühle;;01.01.2015;POINT (10.003206 53.546068);EPSG:4326
APP_KFZ_DAUERZAEHLSTELLEN_2508;113;Überseeallee O Shanghaiallee;;01.01.2015;POINT (10.004755 53.540734);EPSG:4326
APP_KFZ_DAUERZAEHLSTELLEN_2509;114;A7 SO AS HH-Othmarschen (Elbtunnel);;05.01.2004;POINT (9.918966 53.541514);EPSG:4326
APP_KFZ_DAUERZAEHLSTELLEN_2510;115;Köhlbrandbrücke O Waltershofer Damm;;05.01.2004;POINT (9.922212 53.519340);EPSG:4326
APP_KFZ_DAUERZAEHLSTELLEN_2511;116;Veddeler Damm O Worthdamm;;05.01.2004;POINT (9.981481 53.527524);EPSG:4326
APP_KFZ_DAUERZAEHLSTELLEN_2512;117;Neue Elbbrücke NO Veddeler Marktplatz;;05.01.2004;POINT (10.024634 53.530326);EPSG:4326
APP_KFZ_DAUERZAEHLSTELLEN_2513;119;A1/A255 AD Hamburg-Norderelbe DP2325;;01.01.2004;POINT (10.036220 53.508626);EPSG:4326
APP_KFZ_DAUERZAEHLSTELLEN_2514;121;A253 N AS HH-Neuland (Europabrücke);;01.01.2020;POINT (9.995904 53.473516);EPSG:4326
APP_KFZ_DAUERZAEHLSTELLEN_2515;122;Buxtehuder Straße NW Bleicherweg;;05.01.2004;POINT (9.975099 53.465750);EPSG:4326
APP_KFZ_DAUERZAEHLSTELLEN_2516;258;Neuhöfer Straße O Neuhöfer Damm (Reiherstiegbrücke);;05.01.2004;POINT (9.971224 53.512399);EPSG:4326
APP_KFZ_DAUERZAEHLSTELLEN_2517;354;A1 AS HH-Öjendorf Knoten Nordwest;;06.11.2018;POINT (10.146276 53.545744);EPSG:4326
APP_KFZ_DAUERZAEHLSTELLEN_2518;355;"A1 AS HH-Öjendorf Knoten Südost ";;06.11.2018;POINT (10.147839 53.542727);EPSG:4326
APP_KFZ_DAUERZAEHLSTELLEN_2519;371;A7 AS HH-Moorburg;;12.04.2018;POINT (9.914287 53.481934);EPSG:4326
APP_KFZ_DAUERZAEHLSTELLEN_2520;376;A7/A261 AD Hamburg-Südwest;;16.02.2015;POINT (9.927129 53.435731);EPSG:4326
