_fid;zaehlstelle;bezeichnung;knoten;letzte_zaehlung;geom;coordinate_reference_system
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21661;387;Vogteistraße S Reller (Landesgrenze);;05.01.2004;POINT (10.013931 53.430180);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21662;388;A1 AS HH-Harburg;;30.09.2020;POINT (10.025712 53.462503);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21663;389;A25 AS HH-Allermöhe;;06.09.2007;POINT (10.115671 53.486732);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21664;390;A25 AS HH-Neuallermöhe-West;;27.08.2019;POINT (10.149427 53.481001);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21665;391;A25 AS HH-Nettelnburg;;27.08.2019;POINT (10.176593 53.473743);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21666;392;A25 AS HH-Bergedorf;;27.08.2019;POINT (10.205447 53.475325);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21667;393;Lohbrügger Markt NO Lohbrügger Landstraße;;05.01.2004;POINT (10.206799 53.494854);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21668;394;Bergedorfer Straße / Wentorfer Straße;;03.09.2020;POINT (10.215732 53.486179);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21669;395;Binnenfeldredder NO Max-Eichholz-Ring (Landesgrenze);;05.01.2004;POINT (10.222050 53.505693);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21670;396;Reinbeker Redder O Havighorster Weg (Landesgrenze);;05.01.2004;POINT (10.213768 53.513454);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21671;397;A25 O AS HH-Curslack (Landesgrenze);;05.01.2004;POINT (10.261151 53.469195);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21672;398;Sieker Landstraße NO Merkurring (Landesgrenze);;03.07.2006;POINT (10.191633 53.609258);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21673;399;Stapelfelder Straße NO Weg Großlohe (Landesgrenze);;28.04.2015;POINT (10.194224 53.605170);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21674;400;Lohe N Hoopwischen (Landesgrenze);;04.01.2016;POINT (10.108910 53.714271);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21675;401;Oldesloer Straße / Wunderbrunnen;;13.08.2019;POINT (9.928014 53.643243);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21676;402;Hohe-Schaar-Straße W Buschwerder Hauptdeich;;04.01.2016;POINT (9.983660 53.480251);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21677;403;Veddeler Straße N Georgswerder Bogen;;04.01.2016;POINT (10.015347 53.519241);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21678;404;Harburger Chaussee O Schlenzigstraße;;15.10.2013;POINT (10.001915 53.520191);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21679;405;Georg-Wilhelm-Straße / Bei der Wollkämmerei;;19.03.2019;POINT (9.991460 53.500673);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21680;406;Georg-Wilhelm-Straße / Pollhornweg;;28.02.2019;POINT (9.991740 53.482989);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21681;407;Stillhorner Weg O Altenfelder Weg;;04.01.2016;POINT (10.019943 53.479470);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21682;408;Bei St. Annen / Am Sandtorkai;;04.06.2024;POINT (9.997802 53.544118);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21683;409;Osakaallee / Überseeallee;;04.06.2024;POINT (9.999726 53.541207);EPSG:4326
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21684;410;Shanghaiallee N Überseeallee;;04.01.2016;POINT (10.003767 53.541075);EPSG:4326
