_fid;zaehlstelle;bezeichnung;knoten;letzte_zaehlung;geom;coordinate_reference_system
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21477;104;A7/A23 AD HH-Nordwest;;20.10.2020;POINT (560415.000000 5941108.000000);EPSG:25832
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21478;118;A252/A255 AK HH-Süd (Nord);;01.01.2020;POINT (568167.000000 5930391.000000);EPSG:25832
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21479;120;A1/A25 AD HH-Südost;;01.01.2020;POINT (571688.000000 5929236.000000);EPSG:25832
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21480;201;Tarpen W Essener Straße (Landesgrenze);;05.01.2004;POINT (565488.000000 5946822.000000);EPSG:25832
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21481;202;Meenkwiese W Meenkbrücke;;05.01.2004;POINT (565609.000000 5939341.000000);EPSG:25832
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21482;203;Pinneberger Straße NW Siloahweg (Landesgrenze);;05.01.2004;POINT (559517.000000 5943388.000000);EPSG:25832
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21483;204;Holsteiner Chaussee / Schleswiger Damm;;27.08.2020;POINT (559968.000000 5944982.000000);EPSG:25832
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21484;205;Holsteiner Chaussee / Marek-James-Straße;;27.08.2020;POINT (560035.000000 5944499.000000);EPSG:25832
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21485;206;Schleswiger Damm / Marek-James-Straße;;27.08.2020;POINT (560236.000000 5944532.000000);EPSG:25832
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21486;207;Holsteiner Chaussee / A23 AS HH-Eidelstedt Knoten Süd;;20.10.2020;POINT (560029.000000 5941387.000000);EPSG:25832
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21487;208;Holsteiner Chaussee / A23 AS HH-Eidelstedt Knoten Nord;;20.10.2020;POINT (560069.000000 5941668.000000);EPSG:25832
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21488;209;A23 AS HH-Eidelstedt;;01.01.2004;POINT (560043.000000 5941476.000000);EPSG:25832
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21489;210;Papenreye O Kollaustraße;;05.01.2004;POINT (563342.000000 5940791.000000);EPSG:25832
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21490;211;Schleswiger Damm / Frohmestraße;;27.08.2020;POINT (561575.000000 5942674.000000);EPSG:25832
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21491;212;Borsteler Chaussee / Alsterkrugchaussee;;27.08.2020;POINT (565328.000000 5939850.000000);EPSG:25832
APP_KFZ_JAEHRLICHE_ZAEHLSTELLEN_21492;213;Nedderfeld O Kollaustraße;;05.01.2004;POINT (563780.000000 5939844.000000);EPSG:25832
