_fid;zaehlstelle;bezeichnung;knoten;letzte_zaehlung;geom;coordinate_reference_system
APP_KFZ_BEDARFSZAEHLSTELLEN_163703;6025;Kollaustraße / Niendorfer Straße;;08.11.2018;POINT (9.957153 53.610698);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163704;6026;Tarpen / Essener Straße;;17.08.2004;POINT (9.991717 53.665932);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163705;6027;Essener Straße / Dortmunder Straße;;17.08.2004;POINT (9.992168 53.670944);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163706;6028;Bebelallee / Meenkwiese;;14.08.2012;POINT (9.993872 53.599235);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163707;6029;Rathenaustraße / Bebelallee;;29.06.2023;POINT (9.997430 53.605309);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163708;6030;Furtweg / Lüttwisch;;30.05.2012;POINT (9.903721 53.602979);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163709;6031;Lohkampstraße / Ekenknick;;27.10.2005;POINT (9.903265 53.608537);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163710;6032;Pinneberger Chaussee / Halstenbeker Weg;;15.09.2004;POINT (9.893106 53.614852);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163711;6033;Pinneberger Chaussee / Eidelstedter Platz;;27.10.2005;POINT (9.903739 53.608795);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163712;6034;Pinneberger Chaussee / Upn Hornack;;27.10.2005;POINT (9.900215 53.610817);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163713;6035;Pinneberger Chaussee / Johann-Schmidt-Straße;;27.10.2005;POINT (9.900986 53.610092);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163714;6036;Johann-Schmidt-Straße / Lohkampstraße;;27.10.2005;POINT (9.900247 53.609441);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163715;6037;Oddernskamp / Julius-Vosseler-Straße;;29.09.2011;POINT (9.952321 53.598818);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163716;6038;Imbekstieg / Wördemanns Weg;;08.12.2011;POINT (9.923656 53.599564);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163717;6039;Kellerbleek / Nedderfeld;;20.11.2018;POINT (9.966181 53.603597);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163718;6041;Frohmestraße / Wählingsallee;;13.04.2023;POINT (9.921823 53.631965);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163719;6042;Kollaustraße / Groß Borsteler Straße;;08.11.2018;POINT (9.958458 53.610239);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163720;6043;Kollaustraße / Lokstedter Holt;;28.04.2021;POINT (9.952347 53.613424);EPSG:4326
