_fid;zaehlstelle;bezeichnung;knoten;letzte_zaehlung;geom;coordinate_reference_system
APP_KFZ_BEDARFSZAEHLSTELLEN_163670;2;Osdorfer Landstraße / Windmühlenweg;;01.01.2023;POINT (557567.000000 5936156.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163671;3;Neue Straße / Harburger Ring;;01.01.2023;POINT (564964.000000 5923997.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163672;5;Elise-Averdieck-Straße / Oben Borgfelde;;01.01.2024;POINT (568753.000000 5934575.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163673;6;Oberhafenradweg / Brandshofer Deich;;01.01.2024;POINT (568203.000000 5932455.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163674;7;Gert-Schwämmle-Weg / Dratelnstraße;;01.01.2024;POINT (566319.000000 5928286.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163675;8;Alte Harburger Elbbrücke / Abzweig Hannoversche Straße;;01.01.2024;POINT (565949.000000 5925083.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163676;9;Nördlicher Bahngraben / S-Bahn Allermöhe;;01.01.2024;POINT (576876.000000 5927486.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163677;10;Eppendorfer Weg / Wehbers Park;;01.01.2024;POINT (563442.000000 5936181.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163678;11;Saarlandstieg / Dakarweg;;01.01.2024;POINT (568148.000000 5939827.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163679;6001;Kakenhaner Weg SW Steenbargkoppel;;25.08.2005;POINT (572288.000000 5950845.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163680;6002;Bökenbarg NW Poppenbütteler Chaussee;;25.08.2005;POINT (572439.000000 5950504.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163681;6003;A7 AS HH-Schnelsen;;19.01.2006;POINT (561070.000000 5943217.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163682;6004;Schleswiger Damm / Oldesloer Straße;;02.11.2023;POINT (560811.000000 5943570.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163683;6005;Oldesloer Straße / Vielohweg;;03.09.2013;POINT (561066.000000 5943690.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163684;6006;Niendorfer Marktplatz / Garstedter Weg;;02.09.2014;POINT (562855.000000 5941408.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163685;6007;Kollaustraße / Papenreye;;08.11.2018;POINT (563233.000000 5940731.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163686;6008;Kollaustraße / Nedderfeld;;20.11.2018;POINT (563661.000000 5939826.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163687;6009;Nedderfeld / Rosenbrook;;20.11.2018;POINT (565134.000000 5939577.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163688;6010;Oldesloer Straße / Swebenweg;;11.12.2018;POINT (562680.000000 5944950.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163689;6011;Borsteler Chaussee / Papenreye;;27.11.2018;POINT (564388.000000 5940871.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163690;6012;Kieler Straße / Elbgaustraße;;29.08.2023;POINT (559961.000000 5940187.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163691;6013;Swebenweg / Märkerweg;;11.12.2018;POINT (563341.000000 5944720.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163692;6014;Eidelstedter Platz / Eidelstedter Dorfstraße;;28.11.2017;POINT (559899.000000 5940281.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163693;6015;Holsteiner Chaussee / Eidelstedter Platz;;02.11.2023;POINT (559869.000000 5940377.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163694;6016;Franzosenkoppel / Fahrenort;;02.09.2009;POINT (558247.000000 5939476.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163695;6017;Niendorfer Straße / Umgehung Fuhlsbüttel;;05.04.2005;POINT (565231.000000 5945171.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163696;6018;Burgwedel / Oldesloer Straße;;13.04.2023;POINT (560683.000000 5943452.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163697;6019;Schleswiger Damm / Burgwedel;;03.04.2013;POINT (560587.000000 5944084.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163698;6020;Holsteiner Chaussee / Nebenbahnstraße;;27.10.2005;POINT (559847.000000 5940492.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163699;6021;Holsteiner Chaussee / Rungwisch;;27.10.2005;POINT (559880.000000 5940513.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163700;6022;Holsteiner Chaussee / Oortskamp;;27.10.2005;POINT (559905.000000 5940683.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163701;6023;Holsteiner Chaussee / Hörgensweg;;25.02.2006;POINT (560000.000000 5941212.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163702;6024;Schleswiger Damm / Burgwedelkamp;;03.04.2013;POINT (560539.000000 5944158.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163703;6025;Kollaustraße / Niendorfer Straße;;08.11.2018;POINT (563324.000000 5940635.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163704;6026;Tarpen / Essener Straße;;17.08.2004;POINT (565525.000000 5946811.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163705;6027;Essener Straße / Dortmunder Straße;;17.08.2004;POINT (565547.000000 5947369.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163706;6028;Bebelallee / Meenkwiese;;14.08.2012;POINT (565771.000000 5939393.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163707;6029;Rathenaustraße / Bebelallee;;29.06.2023;POINT (565997.000000 5940072.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163708;6030;Furtweg / Lüttwisch;;30.05.2012;POINT (559800.000000 5939730.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163709;6031;Lohkampstraße / Ekenknick;;27.10.2005;POINT (559762.000000 5940348.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163710;6032;Pinneberger Chaussee / Halstenbeker Weg;;15.09.2004;POINT (559081.000000 5941042.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163711;6033;Pinneberger Chaussee / Eidelstedter Platz;;27.10.2005;POINT (559793.000000 5940377.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163712;6034;Pinneberger Chaussee / Upn Hornack;;27.10.2005;POINT (559557.000000 5940599.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163713;6035;Pinneberger Chaussee / Johann-Schmidt-Straße;;27.10.2005;POINT (559609.000000 5940519.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163714;6036;Johann-Schmidt-Straße / Lohkampstraße;;27.10.2005;POINT (559561.000000 5940446.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163715;6037;Oddernskamp / Julius-Vosseler-Straße;;29.09.2011;POINT (563022.000000 5939309.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163716;6038;Imbekstieg / Wördemanns Weg;;08.12.2011;POINT (561124.000000 5939367.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163717;6039;Kellerbleek / Nedderfeld;;20.11.2018;POINT (563932.000000 5939853.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163718;6041;Frohmestraße / Wählingsallee;;13.04.2023;POINT (560956.000000 5942970.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163719;6042;Kollaustraße / Groß Borsteler Straße;;08.11.2018;POINT (563411.000000 5940585.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163720;6043;Kollaustraße / Lokstedter Holt;;28.04.2021;POINT (563002.000000 5940934.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163721;6044;Jütländer Allee / Wördemanns Weg;;12.12.2013;POINT (561296.000000 5939278.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163722;6045;Eidelstedter Platz / Busbahnhof;;27.10.2005;POINT (559820.000000 5940356.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163723;6046;Essener Straße / Zufahrt Betriebshof;;17.08.2004;POINT (565527.000000 5946943.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163724;6047;Holsteiner Chaussee / Zufahrt Gartenbetrieb;;25.02.2006;POINT (560056.000000 5941572.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163725;6048;Schleswiger Damm / A7 AS HH-Schnelsen Knoten Ost;;19.01.2006;POINT (561150.000000 5943124.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163726;6049;Schleswiger Damm / A7 AS HH-Schnelsen Knoten West;;19.01.2006;POINT (561037.000000 5943262.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163727;6050;Oldesloer Straße / A7 AS HH-Schnelsen-Nord Knoten West;;13.08.2019;POINT (561431.000000 5944418.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163728;6051;Oldesloer Straße / A7 AS HH-Schnelsen-Nord Knoten Ost;;13.08.2019;POINT (561560.000000 5944526.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163729;6052;Holsteiner Chaussee / Zufahrt Hornbach;;09.09.2010;POINT (559946.000000 5940954.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163730;6053;Hörgensweg O AKN Bahnübergang;;27.10.2005;POINT (559841.000000 5941363.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163731;6054;Fahrenort O Jevenstedter Straße;;26.02.2004;POINT (557902.000000 5939437.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163732;6055;A7 AS HH-Schnelsen S Schleswiger Damm;;19.09.2006;POINT (561053.000000 5943042.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163733;6056;Krohnstieg O Ermlandweg;;05.04.2005;POINT (565632.000000 5944922.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163734;6057;Friedrich-Ebert-Straße SO Bondenwald;;26.09.2008;POINT (562323.000000 5941840.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163735;6058;Elbgaustraße NO Fangdieckstraße;;25.03.2010;POINT (558987.000000 5939688.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163736;6059;Kieler Straße NW Düngelskamp;;30.05.2012;POINT (560581.000000 5939480.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163737;6060;Kieler Straße SO Mühlenaustieg;;30.05.2012;POINT (560067.000000 5940099.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163738;6061;Alsterkrugchaussee / Ratsmühlendamm;;13.06.2013;POINT (567003.000000 5942538.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163739;6062;Flughafenstraße / Alsterkrugchaussee;;20.06.2017;POINT (566888.000000 5942108.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163740;6063;Bergstedter Chaussee / Volksdorfer Damm;;25.04.2019;POINT (574454.000000 5947517.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163741;6064;Bargteheider Straße / Scharbeutzer Straße;;15.09.2011;POINT (575680.000000 5939670.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163742;6065;Lemsahler Landstraße / An der Alsterschleife;;23.05.2019;POINT (572049.000000 5947589.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163743;6066;Fuhlsbüttler Straße / Alte Wöhr;;25.09.2012;POINT (568942.000000 5939375.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163744;6067;Harksheider Straße / Poppenbütteler Berg;;23.05.2019;POINT (571105.000000 5946637.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163745;6068;Ulzburger Straße / Poppenbütteler Weg;;09.11.2023;POINT (571199.000000 5945471.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163746;6069;Saseler Damm / Stadtbahnstraße;;27.03.2014;POINT (572934.000000 5945517.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163747;6070;Fuhlsbüttler Straße / Rübenkamp;;09.02.2016;POINT (568423.000000 5941443.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163748;6071;Rübenkamp / Hebebrandstraße;;06.10.2015;POINT (568409.000000 5940367.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163749;6072;Überseering West / Jahnring;;25.09.2012;POINT (567318.000000 5939536.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163750;6073;Erdkampsweg / Ratsmühlendamm (Knoten West);;26.04.2012;POINT (567815.000000 5942448.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163751;6074;Erdkampsweg / Ratsmühlendamm (Knoten Ost);;26.04.2012;POINT (567898.000000 5942433.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163752;6075;Sengelmannstraße / Maienweg;;05.09.2023;POINT (567185.000000 5941405.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163753;6076;Sengelmannstraße / Alsterdorfer Straße;;13.11.2018;POINT (567474.000000 5941047.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163754;6077;Hindenburgstraße / Bebelallee;;29.06.2023;POINT (566896.000000 5940598.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163755;6078;Braamkamp / Jahnring;;11.07.2023;POINT (566606.000000 5939419.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163756;6079;Hindenburgstraße / Jahnring;;13.11.2018;POINT (567078.000000 5939479.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163757;6080;Überseering / Hebebrandstraße;;25.09.2012;POINT (567823.000000 5940118.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163758;6081;Sengelmannstraße / Hebebrandstraße;;06.10.2015;POINT (567962.000000 5940195.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163759;6082;Fuhlsbüttler Straße / Hebebrandstraße;;11.12.2018;POINT (568717.000000 5940443.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163760;6083;Überseering Ost / Jahnring;;25.09.2012;POINT (567833.000000 5939537.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163761;6084;Rübenkamp / Jahnbrücke;;28.04.2021;POINT (568539.000000 5939620.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163762;6085;August-Krogmann-Straße / Berner Heerweg;;28.09.2023;POINT (574089.000000 5940306.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163763;6086;Karlshöhe / Pezolddamm;;09.08.2012;POINT (573478.000000 5942214.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163764;6087;Farmsener Landstraße / Eulenkrugstraße;;04.04.2013;POINT (576609.000000 5944769.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163765;6088;Halenreie / Waldweg (Süd);;09.11.2023;POINT (576711.000000 5945553.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163766;6089;Hindenburgstraße / Maienweg;;13.11.2018;POINT (566685.000000 5941131.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163767;6090;Überseering / Sydneystraße;;25.09.2012;POINT (567361.000000 5940088.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163768;6091;Steilshooper Allee / Steilshooper Straße;;04.04.2017;POINT (569960.000000 5940480.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163769;6092;Berner Heerweg / Friedrich-Ebert-Damm;;21.08.2018;POINT (574023.000000 5940173.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163770;6093;Steilshooper Allee / Nordheimstraße;;25.09.2012;POINT (569015.000000 5940382.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163771;6094;Wellingsbüttler Weg / Borstels Ende;;16.05.2024;POINT (569911.000000 5943614.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163772;6095;Halenreie / Farmsener Landstraße;;13.08.2013;POINT (576778.000000 5945233.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163773;6096;Alsterkrugchaussee / Preetzer Straße;;13.06.2013;POINT (567141.000000 5943159.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163774;6097;Alsterkrugchaussee / Hornkamp;;13.06.2013;POINT (567038.000000 5942733.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163775;6098;Langenhorner Chaussee / Stockflethweg;;25.10.2012;POINT (566096.000000 5948300.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163776;6099;Moorreye / Flughafenstraße;;28.09.2021;POINT (567440.000000 5943988.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163777;6100;Schmuggelstieg / Langenhorner Chaussee;;25.10.2012;POINT (566065.000000 5948393.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163778;6101;Eichenlohweg / Steilshooper Allee;;25.09.2012;POINT (569102.000000 5940412.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163779;6102;Fuhlsbüttler Straße /  Meister-Bertram-Straße;;25.09.2012;POINT (568762.000000 5940251.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163780;6103;Eekbusch / Stadtbahnstraße;;27.03.2014;POINT (573010.000000 5945536.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163781;6104;Erdkampsweg / Hummelsbütteler Landstraße;;26.04.2012;POINT (567777.000000 5942595.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163782;6105;Hindenburgstraße / Rathenaustraße;;24.04.2018;POINT (566826.000000 5940791.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163783;6106;Sengelmannstraße / Rathenaustraße;;29.06.2023;POINT (567375.000000 5941153.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163784;6107;Carl-Cohn-Straße / Hindenburgstraße;;13.11.2018;POINT (567057.000000 5939545.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163785;6108;Hindenburgstraße / Alsterdorfer Straße;;09.05.2017;POINT (566919.000000 5940495.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163786;6109;Sengelmannstraße / Dorothea-Kasten-Straße;;24.02.2004;POINT (567560.000000 5940950.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163787;6110;Bramfelder Chaussee / Herthastraße;;11.07.2017;POINT (571101.000000 5940882.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163788;6111;Fuhlsbüttler Straße / Lauensteinstraße;;25.09.2012;POINT (568906.000000 5939432.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163789;6112;Fuhlsbüttler Straße / Hartzloh;;19.03.2014;POINT (568881.000000 5939696.000000);EPSG:25832
APP_KFZ_BEDARFSZAEHLSTELLEN_163790;6113;Fuhlsbüttler Straße / Elligersweg;;19.03.2014;POINT (568815.000000 5940098.000000);EPSG:25832
