_fid;zaehlstelle;bezeichnung;knoten;letzte_zaehlung;geom;coordinate_reference_system
APP_KFZ_PEGEL_37025;1013;Krohnstieg NO Garstedter Weg T371 DP3233;;30.06.2024;POINT (564489.000000 5944555.000000);EPSG:25832
APP_KFZ_PEGEL_37026;1017;Garstedter Weg SW Krohnstieg T372 DP3334;;30.06.2024;POINT (564402.000000 5944460.000000);EPSG:25832
APP_KFZ_PEGEL_37027;1018;Swebenweg W Krohnstieg T373 DP3234;;30.06.2024;POINT (564376.000000 5944517.000000);EPSG:25832
APP_KFZ_PEGEL_37028;1022;Zeppelinstraße N Terminalzufahrten (UFu) T367 DP31;;30.06.2024;POINT (566756.000000 5943478.000000);EPSG:25832
APP_KFZ_PEGEL_37029;1035;Kollaustraße SO Vogt-Cordes-Damm T2 DP01;;30.06.2024;POINT (563017.000000 5940917.000000);EPSG:25832
APP_KFZ_PEGEL_37030;1041;A23 NW AD Hamburg-Nordwest T344 DP2930;;29.08.2019;POINT (560126.000000 5941389.000000);EPSG:25832
APP_KFZ_PEGEL_37031;1043;A7 NO AD Hamburg-Nordwest T343 DP2830;;29.08.2019;POINT (560579.000000 5941858.000000);EPSG:25832
APP_KFZ_PEGEL_37032;1045;A7 SO AD Hamburg-Nordwest T342 DP2829;;07.11.2019;POINT (560618.000000 5940675.000000);EPSG:25832
APP_KFZ_PEGEL_37033;1054;Luruper Hauptstraße O Engelbrechtweg (Landesgrenze) T10 DP09;;30.06.2024;POINT (556547.000000 5939160.000000);EPSG:25832
APP_KFZ_PEGEL_37034;1061;Fruchtallee NW Emilienstraße T11 DP10;;30.06.2024;POINT (563081.000000 5936266.000000);EPSG:25832
APP_KFZ_PEGEL_37035;1077;Doormannsweg SW Fruchtallee T9 DP08;;30.06.2024;POINT (563262.000000 5936102.000000);EPSG:25832
APP_KFZ_PEGEL_37036;1081;Habichtstraße NW Meisenstraße T3 DP02;;30.06.2024;POINT (569987.000000 5938517.000000);EPSG:25832
APP_KFZ_PEGEL_37037;1097;Wandsbeker Marktstraße SW Wandsbeker Königstraße T4 DP03;;30.06.2024;POINT (570374.000000 5936311.000000);EPSG:25832
APP_KFZ_PEGEL_37038;1102;Wallringtunnel N Deichtorplatz T13 DP12;;29.06.2024;POINT (566672.000000 5933892.000000);EPSG:25832
APP_KFZ_PEGEL_37039;1114;Deichtortunnel O Meßberg T5 DP04;;30.06.2024;POINT (566465.000000 5933634.000000);EPSG:25832
APP_KFZ_PEGEL_37040;1123;Oberbaumbrücke NO Poggenmühle T381 DP38;;30.06.2024;POINT (566508.000000 5933527.000000);EPSG:25832
APP_KFZ_PEGEL_37041;1134;Überseeallee O Shanghaiallee T382 DP39;;30.06.2024;POINT (566583.000000 5932895.000000);EPSG:25832
APP_KFZ_PEGEL_37042;1145;A7 SO AS HH-Othmarschen (Elbtunnel) T15 DP14;;31.12.2020;POINT (560897.000000 5932905.000000);EPSG:25832
APP_KFZ_PEGEL_37043;1154;Köhlbrandbrücke O Waltershofer Damm T16 DP15;;04.06.2024;POINT (562242.000000 5930728.000000);EPSG:25832
APP_KFZ_PEGEL_37044;1164;Veddeler Damm O Worthdamm T14 DP13;;30.06.2024;POINT (565061.000000 5931404.000000);EPSG:25832
APP_KFZ_PEGEL_37045;1173;Neue Elbbrücke NO Veddeler Marktplatz T6 DP05;;30.06.2024;POINT (568008.000000 5931925.000000);EPSG:25832
APP_KFZ_PEGEL_37046;1188;B75 W AS HH-Elbinsel T338 DP 2627;;19.03.2019;POINT (567726.000000 5930322.000000);EPSG:25832
APP_KFZ_PEGEL_37047;1196;"A1 S AD Hamburg-Norderelbe T337 DP2325 ";;31.12.2020;POINT (568882.000000 5928356.000000);EPSG:25832
APP_KFZ_PEGEL_37048;1204;A1 O AD HH-Südost T335 DP1719;;10.09.2019;POINT (572078.000000 5929275.000000);EPSG:25832
APP_KFZ_PEGEL_37049;1205;A25 SO AD Hamburg-Südost T336 DP1819;;27.08.2019;POINT (572103.000000 5928623.000000);EPSG:25832
APP_KFZ_PEGEL_37050;1208;A1 W AD Hamburg-Südost T334 DP1718;;31.12.2020;POINT (570254.000000 5929452.000000);EPSG:25832
APP_KFZ_PEGEL_37051;1212;Europabrücke N AS HH-Neuland (B75) T17 DP16;;24.06.2024;POINT (566101.000000 5925409.000000);EPSG:25832
APP_KFZ_PEGEL_37052;1221;Buxtehuder Straße NW Bleicherweg T8 DP07;;30.06.2024;POINT (564732.000000 5924526.000000);EPSG:25832
APP_KFZ_PEGEL_37053;2018;Tarpen W Essener Straße (Landesgrenze) T306;;04.02.2020;POINT (565488.000000 5946822.000000);EPSG:25832
APP_KFZ_PEGEL_37054;2028;Meenkwiese W Meenkbrücke T289;;27.08.2020;POINT (565609.000000 5939341.000000);EPSG:25832
APP_KFZ_PEGEL_37055;2031;Pinneberger Straße NW Siloahweg (Landesgrenze) T150;;27.08.2020;POINT (559517.000000 5943388.000000);EPSG:25832
APP_KFZ_PEGEL_37056;2042;Holsteiner Chaussee N Schleswiger Damm (Landesgrenze) T151;;06.02.2024;POINT (559962.000000 5945060.000000);EPSG:25832
APP_KFZ_PEGEL_37057;2056;Holsteiner Chaussee S Marek-James-Straße T153;;22.05.2008;POINT (560051.000000 5944429.000000);EPSG:25832
APP_KFZ_PEGEL_37058;2065;Schleswiger Damm SO Marek-James-Straße T152;;22.05.2008;POINT (560264.000000 5944516.000000);EPSG:25832
APP_KFZ_PEGEL_37059;2076;Holsteiner Chaussee S A23 AS HH-Eidelstedt T27;;18.06.2024;POINT (560017.000000 5941293.000000);EPSG:25832
APP_KFZ_PEGEL_37060;2082;Holsteiner Chaussee N A23 AS HH-Eidelstedt T121;;26.02.2008;POINT (560077.000000 5941717.000000);EPSG:25832
APP_KFZ_PEGEL_37061;2091;A23 NW AS HH-Eidelstedt T26;;20.10.2020;POINT (559649.000000 5941790.000000);EPSG:25832
APP_KFZ_PEGEL_37062;2104;Papenreye O Kollaustraße T345;;27.08.2020;POINT (563342.000000 5940791.000000);EPSG:25832
APP_KFZ_PEGEL_37063;2111;Schleswiger Damm NW Wendlohstraße T154;;13.05.2004;POINT (561318.000000 5942951.000000);EPSG:25832
APP_KFZ_PEGEL_37064;2113;Wendlohstraße NO Frohmestraße T155;;13.05.2004;POINT (561610.000000 5942721.000000);EPSG:25832
APP_KFZ_PEGEL_37065;2115;Frohmestraße SO Wendlohstraße T156;;26.09.2008;POINT (561629.000000 5942613.000000);EPSG:25832
APP_KFZ_PEGEL_37066;2118;Frohmestraße W Schleswiger Damm T157;;13.05.2004;POINT (561489.000000 5942675.000000);EPSG:25832
APP_KFZ_PEGEL_37067;2121;Borsteler Chaussee NW Alsterkrugchaussee T112;;04.05.2004;POINT (565267.000000 5939890.000000);EPSG:25832
APP_KFZ_PEGEL_37068;2123;Alsterkrugchaussee NO Deelböge T113;;04.05.2004;POINT (565371.000000 5939939.000000);EPSG:25832
APP_KFZ_PEGEL_37069;2125;Deelböge SO Alsterkrugchaussee T114;;18.04.2024;POINT (565444.000000 5939813.000000);EPSG:25832
APP_KFZ_PEGEL_37070;2127;Rosenbrook SW Deelböge T115;;04.05.2004;POINT (565234.000000 5939737.000000);EPSG:25832
APP_KFZ_PEGEL_37071;2134;Nedderfeld O Kollaustraße T162;;27.08.2020;POINT (563780.000000 5939844.000000);EPSG:25832
APP_KFZ_PEGEL_37072;2141;Pinneberger Chaussee NW Wildacker (Landesgrenze) T149;;27.08.2020;POINT (558549.000000 5941816.000000);EPSG:25832
APP_KFZ_PEGEL_37073;2152;Norderstedt - Niendorfer Straße N Krohnstieg (Landesgrenze) T272;;04.02.2020;POINT (565203.000000 5945256.000000);EPSG:25832
APP_KFZ_PEGEL_37074;2163;Oldesloer Straße NO Swebenweg (Landesgrenze) T387;;27.08.2020;POINT (562773.000000 5945060.000000);EPSG:25832
